id,category,article,version,description,trigger_words,weight,download_url,url
sd15_0028,background,gemstone_scene,v10,,"diamond, ruby, sapphire, Tanzanite, yellow diamond, green diamond, crystal",0.6-0.8,https://civitai.com/api/download/models/313669?type=Model&format=SafeTensor,https://civitai.com/models/278451/e-commerce-photographyjewelry-scene-colored-gemstone-booth
sd15_0029,background,aurora_gradient,,,Auroral,,https://civitai.com/api/download/models/156828?type=Model&format=SafeTensor,https://civitai.com/models/85026
sd15_0030,background,aurora_lightning,,,"aurora,lightning",,https://civitai.com/api/download/models/101414?type=Model&format=SafeTensor,https://civitai.com/models/85026?modelVersionId=101414
sd15_0031,background,aurora_glacier,,,aurora,,https://civitai.com/api/download/models/95843?type=Model&format=SafeTensor,https://civitai.com/models/85026?modelVersionId=95843
sd15_0032,background,aurora_feather,,,,,https://civitai.com/api/download/models/92242?type=Model&format=SafeTensor,https://civitai.com/models/85026?modelVersionId=92242
sd15_0033,background,aurora_starcloud,,,,,https://civitai.com/api/download/models/96211?type=Model&format=SafeTensor,https://civitai.com/models/85026?modelVersionId=96211
sd15_0034,background,cloud_tunnel,v10,,cloudtunnel,,https://civitai.com/api/download/models/104420?type=Model&format=SafeTensor,https://civitai.com/models/97677/cloudtunnel
sd15_0035,background,cloud_tornado,v10,,cloud,,https://civitai.com/api/download/models/98563?type=Model&format=SafeTensor,https://civitai.com/models/92452/tornado-cloud
sd15_0036,background,cherry_blossom,v10,,cherry blossom,,https://civitai.com/api/download/models/346007?type=Model&format=SafeTensor,https://civitai.com/models/308289/cherry-blossom
sd15_0037,background,ripples_wave,v10,,ripples/wave/water drop,0.2-0.3,https://civitai.com/api/download/models/121674?type=Model&format=SafeTensor,https://civitai.com/models/112671/ripples
sd15_0038,background,vn_DaLat_stairs,v10,,docdalat/stair/from above,,https://civitai.com/api/download/models/127038?type=Model&format=SafeTensor,https://civitai.com/models/117247/tq-da-lat-vietnam-or-dja-lat-va-nhung-con-doc-or-background-lora
sd15_0039,background,vn_SaiGon_old,v10,,saigon,,https://civitai.com/api/download/models/114659?type=Model&format=SafeTensor,https://civitai.com/models/106750/tq-old-saigon-or-sai-gon-xua-or-background-lora
sd15_0040,background,vn_cave_SonDoong,v10,,"Cave, SonDoong",0.6-0.8,https://civitai.com/api/download/models/117528?type=Model&format=SafeTensor,https://civitai.com/models/109097/tq-son-doong-cave-in-vietnam-or-the-worlds-largest-natural-caves-or-background-lora
sd15_0041,background,vn_lotus_pond,v10,,"dongthapmuoi, lotus, river",,https://civitai.com/api/download/models/119045?type=Model&format=SafeTensor,https://civitai.com/models/110425/tq-dong-thap-in-vietnam-or-djong-thap-muoi-or-background-lora
sd15_0042,background,vn_Hue_house,v05,,"exterior, vietnamese heritage house",,https://civitai.com/api/download/models/365257?type=Model&format=SafeTensor,https://civitai.com/models/325843/aidvnarchitecturevietnamese-heritage-ruong-house-nha-ruong
sd15_0043,background,magical_forest_daylight,v10,,forest/sky,,,https://civitai.com/models/96283?modelVersionId=102845
sd15_0044,background,portal,v10,,"portal, gateway, magical entrance",,,https://civitai.com/models/497453/portals-and-gateways
sd15_0045,background,fairy_forest,v11,,FeyFa,,,https://civitai.com/models/285736/fey-and-fairies
sd15_0046,background,swamp,v11,,FanSwa,,,https://civitai.com/models/270960/fantasy-swamps
sd15_0047,background,flower_gate,v10,,,,,https://civitai.com/models/603359/jay-flower-gate-lover
sd15_0048,background,magical_forest_nightcore,v10,,night sky,,,https://civitai.com/models/96283?modelVersionId=125356
sd15_0049,background,library_bookshelves,v16,,lib_bg,1,,https://civitai.com/models/113488/library-bookshelf
sd15_0050,background,visual_novel_niji,,,niji_vn_bg/no humans,,,https://civitai.com/models/104592/niji-visual-novel-background
sd15_0051,background,ghibli,v50,,,,,https://civitai.com/models/54233
sd15_0052,background,visual_novel_trainstation,v10,,vntrainstation,,,https://civitai.com/models/113942/visual-novel-game-assets
sd15_0053,background,visual_novel_cornerstreet,v10,,animecity,,,https://civitai.com/models/113942?modelVersionId=123136
sd15_0054,background,visual_novel_library,v10,,vnschoollibrary,,,https://civitai.com/models/113942?modelVersionId=123871
sd15_0055,background,jp_apartment_hallway,v10,,"rouka, hallway, scenery, door, ceiling light",,,https://civitai.com/models/203276/apartment-hallway-sd15
